"(F002-06-2-001)全国農業地域・都道府県","/(F002-06-1-001)水陸稲の収穫量","作付面積（子実用）【ha】","10ａ当たり収量【kg】","収穫量（子実用）【t】","農家等が使用しているふるい目幅で選別_10ａ当たり収量【kg】","農家等が使用しているふるい目幅で選別_作況指数【指数】","主食用作付面積【ha】","収穫量（主食用）【t】","前年産との比較_作付面積（子実用）_対差【ha】","前年産との比較_作付面積（子実用）_対比【%】","前年産との比較_10ａ当たり収量_対差【kg】","前年産との比較_10ａ当たり収量_対比【%】","前年産との比較_収穫量（子実用）_対差【t】","前年産との比較_収穫量（子実用）_対比【%】","10ａ当たり平年収量【kg】","平年収量（子実用）【t】","農家等が使用しているふるい目幅で選別_10ａ当たり平年収量【kg】","農家等が使用しているふるい目幅で選別_平年収量（子実用）【t】"
"(都道府県)_島根","","15,900","505","80,300","485","100","15,700","79,300","-200","99","-10","98","-2,600","97","514","81,700","484","77,000"
"(都道府県)_岡山","","28,000","510","142,800","496","99","27,200","138,700","200","101","-4","99","-100","100","526","147,300","499","139,700"
"(都道府県)_広島","","20,600","526","108,400","515","101","20,100","105,700","-500","98","-9","98","-4,500","96","528","108,800","508","104,600"
"(都道府県)_山口","","16,800","513","86,200","497","103","15,800","81,100","-300","98","3","101","-1,000","99","504","84,700","481","80,800"
"(都道府県)_徳島","","9,890","470","46,500","462","100","9,790","46,000","140","101","1","100","800","102","474","46,900","462","45,700"
"(都道府県)_徳島_早期栽培","","3,810","454","17,300","447","99","…","…","60","102","4","101","400","102","463","17,600","453","17,300"
"(都道府県)_徳島_普通栽培","","6,070","480","29,100","472","101","…","…","60","101","-1","100","200","101","481","29,200","467","28,300"
"(都道府県)_香川","","9,820","491","48,200","481","100","9,770","48,000","-380","96","-5","99","-2,400","95","496","48,700","479","47,000"
"(都道府県)_愛媛","","12,700","502","63,800","491","102","12,700","63,800","-100","99","-3","99","-800","99","498","63,200","482","61,200"
"(都道府県)_高知","","10,300","453","46,700","444","100","10,100","45,800","0","100","-1","100","-100","100","456","47,000","445","45,800"
"(都道府県)_高知_早期栽培","","5,790","487","28,200","479","102","…","…","20","100","2","100","200","101","480","27,800","470","27,200"
"(都道府県)_高知_普通栽培","","4,480","409","18,300","400","97","…","…","-70","98","-6","99","-600","97","426","19,100","413","18,500"
"(都道府県)_福岡","","32,600","467","152,200","442","98","32,200","150,400","-200","99","-13","97","-5,200","97","491","160,100","452","147,400"
"(都道府県)_佐賀","","22,400","505","113,100","482","99","22,000","111,100","200","101","-16","97","-2,600","98","519","116,300","487","109,100"
"(都道府県)_長崎","","9,420","487","45,900","472","102","9,360","45,600","-580","94","-1","100","-2,900","94","485","45,700","465","43,800"
"(都道府県)_熊本","","29,700","516","153,300","487","102","28,800","148,600","-300","99","-2","100","-2,100","99","513","152,400","479","142,300"
"(都道府県)_大分","","18,000","491","88,400","459","101","17,800","87,400","-300","98","0","100","-1,500","98","499","89,800","454","81,700"
"(都道府県)_宮崎","","14,500","481","69,700","467","97","12,400","59,600","-200","99","-5","99","-1,700","98","496","71,900","482","69,900"
"(都道府県)_宮崎_早期栽培","","5,410","470","25,400","461","98","…","…","-140","97","-17","97","-1,600","94","478","25,900","471","25,500"
"(都道府県)_宮崎_普通栽培","","9,100","487","44,300","470","96","…","…","-70","99","2","100","-200","100","507","46,100","489","44,500"
"(都道府県)_鹿児島","","17,100","470","80,400","454","97","15,600","73,300","-100","99","-15","97","-3,000","96","485","82,900","470","80,400"
"(都道府県)_鹿児島_早期栽培","","3,860","446","17,200","437","97","…","…","-70","98","-23","95","-1,200","93","462","17,800","452","17,400"
"(都道府県)_鹿児島_普通栽培","","13,200","477","63,000","458","96","…","…","-100","99","-13","97","-2,200","97","492","64,900","476","62,800"
"(都道府県)_沖縄","","599","326","1,950","319","105","557","1,820","23","104","5","102","100","105","312","1,870","305","1,830"
"(都道府県)_沖縄_第一期稲","","445","366","1,630","360","105","…","…","4","101","16","105","90","106","349","1,550","343","1,530"
"(都道府県)_沖縄_第二期稲","","154","210","323","198","109","…","…","19","114","-17","93","17","106","193","297","182","280"
"関東農政局","","262,500","542","1,422,000","526","101","249,300","1,351,000","7,900","103","0","100","41,000","103","538","1,412,000","519","1,362,000"
"東海農政局","","72,100","489","352,900","475","99","69,100","337,800","400","101","0","100","2,600","101","496","357,600","479","345,400"
"中国四国農政局","","135,800","502","682,100","489","101","132,700","666,600","-1,300","99","-2","100","-8,700","99","507","688,500","486","660,000"
